CarParkID,CarParkName_Zh_tw,TotalSpaces,Spaces_SpaceType,Spaces_IsMechanical,Spaces_HasChargingPoint,Spaces_NumberOfSpaces,Spaces_StayType
854,瑞泰,27,10,0,0,0,255
828,常順,78,4,0,0,0,255
916,頂新,26,1,0,0,26,255
F30,時代大道第二(B區),85,2,0,0,53,255
AD20,高雄十全,208,2,0,0,0,255
857d,龍鳳,30,5,0,0,0,255
C47,樂仁,24,2,0,0,0,255
952,龍德,39,4,0,0,0,255
R68,燕北停車場,24,10,0,0,0,255
C45,高楠公路,99,5,0,0,0,255
595,鳳陽（鳳山）,57,10,0,0,0,255
599,中興市場,18,4,0,0,0,255
106,中崙,150,5,0,0,0,255
AD9,財稅大樓,131,2,0,0,0,255
B46c,德宜段,36,9,0,0,0,255
475,建樹,31,5,0,0,0,255
984,微笑,145,2,0,0,0,255
813,英德街,110,4,0,0,0,255
128,八德大型車,79,2,0,0,0,255
978,哨船,30,10,0,0,0,255
695,鳳山行政中心西側,516,5,0,0,0,255
ZZ3,小港轉運站自行車立體停車場,0,2,0,0,0,255
AD04,文化中心(立體),830,1,0,0,830,255
AD27,高雄國際會議中心立體停車場,209,1,0,0,209,255
917,金獅湖,79,9,0,0,0,255
469,五甲七老爺,99,1,0,0,77,255
A190,清豐,136,9,0,0,0,255
865,中光,25,1,0,0,25,255
460c,蚵仔寮（C區）,6,1,0,0,6,255
C98,崗山仔公園,111,2,0,0,10,255
955,南成,73,2,0,0,0,255
856,瑞北,28,1,0,0,27,255
C93,凱旋四路,216,5,0,0,0,255
899,海光,184,4,0,0,0,255
867,高雄陽明站,48,9,0,0,0,255
B54,瑞昌,11,5,0,0,0,255
460,蚵仔寮（A區）,166,9,0,0,0,255
D52,國道下正義路309巷路邊停車區,0,9,0,0,0,255
812a,錦田機車,124,4,0,0,0,255
918,舊左營國中,142,5,0,0,0,255
967,金馬,219,10,0,0,0,255
Z05,烏樹林,12,10,0,0,0,255
993,寶華,133,1,0,0,87,255
476,仕興,32,4,0,0,0,255
833,澄德段停一,114,2,0,0,0,255
938,光華,212,4,0,0,0,255
C07,建國路,66,2,0,0,20,255
C38,果貿市場,14,1,0,0,13,255
A99,青埔溝,399,10,0,0,0,255
949,澄觀,154,1,0,0,0,255
815a,捷運前鎮高中站機車,324,9,0,0,0,255
117,龍華,56,1,0,0,54,255
859,后安,73,10,0,0,0,255
E34,仁愛三街,32,9,0,0,1,255
465,左營站前,773,10,0,0,0,255
551,左營北站,54,9,0,0,0,255
460b,蚵仔寮（B區）,62,4,0,0,0,255
814a,鳳山轉運站機車,102,10,0,0,0,255
853,富民,38,1,0,0,38,255
c46,五甲,45,4,0,0,0,255
857e,小港鳳陽,20,1,0,0,20,255
B46b,南連段963,26,9,0,0,0,255
832,榮光,50,2,0,0,24,255
987,高雄澄東站,127,4,0,0,0,255
824,中華路圓環,20,1,0,0,20,255
150,濱海,62,5,0,0,0,255
B43,忠誠,30,10,0,0,0,255
479,北昌路,173,4,0,0,0,255
a126,旗山老街,300,9,0,0,0,255
817a,神農,245,4,0,0,0,255
AD8,高雄凱旋醫院地下停車場,559,5,0,0,0,255
103,平和,47,1,0,0,46,255
822,旗山體育場,20,4,0,0,0,255
449,立民,32,2,0,0,0,255
819,和平公園,22,10,0,0,0,255
835,澄合停九,58,9,0,0,0,255
B58,民族一路,122,5,0,0,0,255
AD7,四維(立體),1756,9,0,0,0,255
547,八德小型車,122,2,0,0,0,255
108,鎮興,66,2,0,0,0,255
C05,正憲,42,2,0,0,0,255
C41,松埔,22,2,0,0,0,255
857c,鳳盛,17,2,0,0,0,255
597,中洲,63,5,0,0,0,255
814b,鳳山捷運站機車,182,2,0,0,172,255
982,瑞豐(B區),39,9,0,0,0,255
AD6,小港(立體),219,2,0,0,0,255
A15,瑞福(B區),24,5,0,0,0,255
811,興達,155,4,0,0,0,255
D93,瑞興,237,1,0,0,237,255
466,東門,42,10,0,0,0,255
957,鳳甲,97,4,0,0,0,255
813b,五甲停二機車,42,9,0,0,0,255
861,君毅,47,9,0,0,0,255
A01,德中,24,1,0,0,24,255
AD1,鹽埕立體停車場,836,9,0,0,0,255
AD12,高雄福山國小,459,9,0,0,0,255
813c,五甲停三機車,91,2,0,0,91,255
913,新光,1504,4,0,0,0,255
B4,厚泰,61,4,0,0,0,255
943,皓東,89,9,0,0,0,255
985,英明市場,128,9,0,0,0,255
970,苓中,69,5,0,0,0,255
858,向榮,18,9,0,0,1,255
814c,鳳山國中機車,475,1,0,0,0,255
947,仁和公園,55,2,0,0,0,255
park0016,左營哈囉市場,166,2,0,0,0,255
A67,五甲社區,176,10,0,0,0,255
AD21,武廟停車場,301,10,0,0,0,255
983,瑞福,81,2,0,0,26,255
B7,旗津漁港,113,2,0,0,0,255
120,獅甲,66,1,0,0,46,255
757,旗山轉運站,212,1,0,0,15,255
AD17,興達立體停車場,140,4,0,0,0,255
park0017,華泰,32,9,0,0,0,255
AD5,自強停車場,305,4,0,0,0,255
590,時代大道,49,2,0,0,0,255
E36,民富,57,9,0,0,0,255
B55,復興二路,100,4,0,0,0,255
869,華山,31,5,0,0,0,255
481a,建軍,148,4,0,0,80,255
999,青埔,55,9,0,0,0,255
998,大昌,13,2,0,0,0,255
B40,時代大道第二(A區),110,1,0,0,64,255
107,鎮賢,44,1,0,0,23,255
AD16,岡山(立體),154,10,0,0,0,255
817,永興,45,2,0,0,0,255
c08,林森,35,10,0,0,0,255
830,正興,185,4,0,0,0,255
B59,忠孝一路,47,1,0,0,40,255
AAA,埤子頭,47,10,0,0,1,255
926,統嶺社區（含南側）,482,9,0,0,0,255
992,瑞豐,69,1,0,0,35,255
946,八卦里,84,10,0,0,0,255
KEE12105,基隆和平島公園停車場,134,5,0,0,9,1
KEE11106,海洋劇場停車場,280,1,0,0,297,1
KEE12402,西三停車場,484,1,0,0,484,4
KEE11101,信二停車場,512,9,0,0,16,1
KEE12111,65高地停車場,33,255,0,0,33,2
KEE12112,南區大客車停車場,40,5,0,0,41,4
KEE12113,基隆和一停車場,302,9,0,0,10,4
KEE12706,光明停二停車場,101,7,0,0,2,1
KEE12401,基隆市中和路168巷停車場,50,7,0,0,1,1
KEE12705,光明停一停車場,56,9,0,0,2,1
KEE12110,潮境公園停車場,32,1,0,0,33,4
KEE12502,基隆安和停車場,44,7,0,0,1,2
KEE12109,濱海遊憩區停車場,75,255,0,0,60,255
KEE22111,非凡物業管理顧問有限公司和平島停車場,64,9,0,0,2,1
KEE12707,福六街停車場,30,9,0,0,1,1
KEE12501,鶯歌石溪停車場,76,7,0,0,2,1
KEE12115,八斗子漁港C區停車場,251,1,0,0,251,255
KEE11307,信義國小地下停車場,349,9,0,0,7,1
KEE12108,復育環保公園停車場,89,1,0,0,100,4
KEE22112,基隆八尺門停車場,90,1,0,0,90,4
KEE11205,中興國小停車場,120,1,0,0,120,255
KEE22410,基隆新橫濱停車場,166,7,0,0,10,4
KEE12107,區域探索館平面停車場,147,1,0,0,148,4
KEE11303,南榮公墓殯儀館停車場,150,1,0,0,150,255
KEE12117,基隆社寮橋停車場,50,1,0,0,50,4
KEE11102,正濱國小收費立體停車場,100,1,0,0,98,4
KEE12203,基隆六合停車場,492,1,0,0,590,2
KEE11703,基隆七堵停車場,293,1,0,0,293,4
KEE11302,基隆成功站,447,1,0,0,447,3
KEE12114,八斗子觀光漁港停車場,117,1,0,0,117,255
KEE11104,中正區行政大樓地下停車場,86,1,0,0,86,4
KIN0001,金門航空站第三停車站,207,1,0,0,222,255
KIN0004,山外車站停車場,105,1,0,0,126,4
LIE003,仁愛停車場,38,0,0,0,38,254
LIE002,介壽地下停車場,232,0,0,0,232,254
MIA019,聯永客家委員會停車場,119,7,0,0,2,4
MIA013,Times苗栗莊敬街停車場,18,1,0,0,18,2
MIA007,苗栗市停十停車場,102,1,0,0,102,4
MIA005,苗栗市停五停車場,42,1,0,0,42,4
MIA030,叭叭房廣停四停車場,43,1,0,0,43,4
MIA001,苗栗中正站停車場,222,1,0,0,222,4
MIA003,苗栗市停一停車場,426,1,0,0,426,4
