CarParkID,CarParkName_Zh_tw,OpeningHours_ServiceDay_ServiceTag,OpeningHours_ServiceDay_Monday,OpeningHours_ServiceDay_Tuesday,OpeningHours_ServiceDay_Wednesday,OpeningHours_ServiceDay_Thursday,OpeningHours_ServiceDay_Friday,OpeningHours_ServiceDay_Saturday,OpeningHours_ServiceDay_Sunday,OpeningHours_ServiceDay_NationalHolidays,OpeningHours_Description,OpeningHours_StartTime,OpeningHours_EndTime,OpeningHours_FreeOfCharge
cmh923,中山停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,00:00,1
exfop01,第一停車場,全年適用,1,1,1,1,1,1,1,1,全日,07:00,17:00,0
exfop02,第二停車場,全年適用,1,1,1,1,1,1,1,1,全日,07:00,17:00,0
tsa003,草鞋墩停二立體停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,00:00,1
tsa001,草屯鎮大成街停車場,全年適用,1,1,1,1,1,1,1,1,全日,07:00,07:00,0
NAN_002,草屯鎮公有草鞋墩多目標使用立體停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
NAN_009,竹山鎮梯子吊橋公有停車場,全年,1,1,1,1,1,1,1,1,全日,08:00,16:00,0
NAN_005,南投縣政府地下停車場,平日,1,1,1,1,1,0,0,0,上下午,07:00,21:00,1
PT0009,屏菸1936文化基地立體停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
PT0005,機場北路路外停車場,平日假日,1,1,1,1,1,1,1,1,全日,00:00,00:00,0
PT0007,幸福公園停車場,全年適用平、假日,1,1,1,1,1,1,1,1,全日/上午/下午,00:00,23:59,0
