CarParkID,CarParkName_Zh_tw,EntranceExitType,EntranceExits_EntranceExitName_Zh_tw,EntranceExits_Position_PositionLat,EntranceExits_Position_PositionLon,EntranceExits_Type,EntranceExits_MaxAllowedHeight,EntranceExits_RoadID,EntranceExits_RoadName,EntranceExits_LinkID,EntranceExits_Bearing
09P0C0016C,豐原區-公有-富春國小地下P,1,中山路473巷出入口,24.2529,120.71378,1,210,,中山路,,NW
08P0C0029A,北屯區-公有-永和巷公園附屬停車場,2,,,,,,,,,
02P0C0001A,東區-公有-(停37)忠孝P,1,忠孝路出入口,24.13319,120.69034,1,,605983B,忠孝路,6059830200040B,NE
28P0C0014A,大里區-公有-廣兼停八P   ,1,德芳南路出入口,24.10247,120.68726,3,,,德芳南路,,SE
05P0C0017A,北區-公有-大湖停車場,2,,,,,,,,,
04P0C0002A,西區-公有-土庫P,2,,,,,,,,,
07P0C0010A,南屯區-公有-馬祖P,1,嶺東南路,24.13442,120.61029,1,,,嶺東南路,,N
07P0C0012A,南屯區-公有-新厝P,2,,,,,,,,,
05P0C0001A,北區-公有-山西P,2,,,,,,,,,
02P0C0010A,東區-公有-精武東P,2,,,,,,,,,
03P0C0012A,南區-公有-城隍機車停車場,1,出入口,24.12957,120.6807,1,,,合作街,,SE
28P0C0013A,大里區-公有-廣兼停六P   ,1,永隆路出入口,24.11415,120.67619,3,,,永隆路,,S
09P0C0001A,豐原區-公有-大明路中興P,1,大明路與三村路104巷出口,24.24176,120.70867,3,,,大明路,,NW
08P0C0009A,北屯區-公有-中興網球附設P,1,瀋陽路一段入口、瀋陽路一段出口,24.17448,120.6761,3,,,瀋陽路,,W
08P0C0016A,北屯區-公有-松竹P,1,崇德六路,24.1803,120.68304,1,,606844B,崇德六路,6068440600000B,W
06P0C0007A,西屯區-公有-太原P,1,太原停車場出入口,24.16115,120.6597,1,,,忠義街,,SE
02P0M0002A,東區-公有-舊建國市場臨時P,1,八德街與大智北路口,24.13888,120.68748,1,,608137B,大智北路,6081370000010B,N
04P0C0006A,西區-公有-光明P,1,台中市西區自由路一段89巷2號,24.13287,120.67474,1,,605739B,自由路,6057390100030B,NE
28P0C0009A,大里區-公有-立元P,2,,,,,,,,,
04P0C0011A,西區-公有-貴和P,1,貴和街,24.13647,120.6706,1,,,貴和街,,NW
09P0C0017A,豐原區-公有-環北站P,1,圓環北路一段３１９號旁,24.25802,120.71924,1,,607196B,圓環北路,6071960500020B,SW
04P0C0005A,西區-公有-民龍P,1,博館一街,24.15262,120.6702,1,,,博館一街,,NW
27P0C0003B,太平區-公有-新平立體P,3,樹孝路出入口,24.14907,120.71599,3,,,樹孝路,,S
06P0C0006A,西屯區-公有-大鵬P  ,1,中清西二街,24.17557,120.6657,3,,,中清西二街,,E
27P0C0011A,太平區-公所-馬卡龍公園P,2,,,,,,,,,
09P0C0012A,豐原區-公有-北陽路P,1,北陽路,24.2519,120.73175,3,,,北陽路,,E
02P0C0002A,東區-公有-(停61)十甲P,1,東英八街二聖街口,24.14194,120.7057,1,,,東英八街,,S
04P0C0009C,西區-公有-柳川P,1,四維街,24.1408,120.67186,1,,,四維街,,NW
06P0C0027A,西屯區-公有-秋紅谷平面停車場,1,河南路口,24.16684,120.64026,1,,606260B,河南路,6062600500050B,SW
03P0C0006A,南區-公有-國資圖P,1,新榮路入出口,24.12834,120.67079,1,0,,復興園路,,S
06P0C0002A,西屯區-公有-上安P  ,1,上安路,24.17117,120.63999,1,,604145B,上安路,6041450700040B,NW
